Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,date,points,paragraph,statement pdf,statement multi image,dollars,confirmation,conf multi image,image,image 2,folder
2017-01-03,2017-01-03,667f9735076d31f489273357,667f9822b28980dadab6b028,Sat Jun 29 2024 05:14:10 GMT+0000 (Coordinated Universal Time),Sat Jun 29 2024 11:28:48 GMT+0000 (Coordinated Universal Time),Sat Jun 29 2024 11:28:54 GMT+0000 (Coordinated Universal Time),Tue Jan 03 2017 00:00:00 GMT+0000 (Coordinated Universal Time),"318,943","LG misappropriates 318,943 of RBC's Chase CC rewards points redeemed for $3189.43 directly to Lucas Guariglia's personal savings ending in 5657.",https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9bd339d419f849a03268_2017-01-10%20statements%206856%20%243189.43%20Chase%20rewards%20redeemed%20for%20cash.pdf,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667febdb746a0e04c59fb794_2017-01-10%20statements%206856%20%243189.43%20Chase%20rewards%20redeemed%20for%20cash.jpg,$3189.43,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9b8654fd8006e670b52e_2017-01-03%20LG%20redeems%20%243189.43%20into%20LG%20personal%20savings%205657.pdf,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9b97772202a8a9ff2493_2017-01-03%20LG%20redeems%20%243189.43%20into%20LG%20personal%20savings%205657_Page_1.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9b963d2c47f970585611_2017-01-03%20LG%20redeems%20%243189.43%20into%20LG%20personal%20savings%205657_Page_2.jpg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fab6a96ab0d941cb215bc_2017-01-03-square_ccrewards_bw-lt.jpg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667febdb746a0e04c59fb794_2017-01-10%20statements%206856%20%243189.43%20Chase%20rewards%20redeemed%20for%20cash.jpg,https://drive.google.com/open?id=1GUbjKLS8fmhCUHfdx_5atJzJmNN5g8uz&usp=drive_fs
2018-01-11,2018-01-11,667f9735076d31f489273357,667fa08f4e109db448052802,Sat Jun 29 2024 05:50:07 GMT+0000 (Coordinated Universal Time),Sat Jun 29 2024 11:28:17 GMT+0000 (Coordinated Universal Time),Sat Jun 29 2024 11:28:54 GMT+0000 (Coordinated Universal Time),Thu Jan 11 2018 00:00:00 GMT+0000 (Coordinated Universal Time),"532,697","LG misappropriates 532,697 of RBC's Chase CC rewards points redeemed for $5,326.97 directly to Lucas Guariglia's personal savings ending in 5657.",https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9f447dde9e3d02436a49_2018-02-10%20statements%206856%20%245326.97%20Chase%20rewards%20redeemed%20for%20cash.pdf,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fecb0e86dbcc2ec14f1a4_2018-02-10%20statements%206856%20%245326.97%20Chase%20rewards%20redeemed%20for%20cash.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9f52076d31f4892bc618_2018-01-11%20LG%20redeems%20%245326.97%20into%20LG%20personal%20savings%205657_Page_4.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9f52258ac8fcbd15d2e3_2018-01-11%20LG%20redeems%20%245326.97%20into%20LG%20personal%20savings%205657_Page_5.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9f5200741aee888b193b_2018-01-11%20LG%20redeems%20%245326.97%20into%20LG%20personal%20savings%205657_Page_6.jpg,$5326.97,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9f9cb9d1f3f968f4b545_2018-01-11%20LG%20redeems%20%245326.97%20into%20LG%20personal%20savings%205657.pdf,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9f6f06ecd330b3897bbd_2018-01-11%20LG%20redeems%20%245326.97%20into%20LG%20personal%20savings%205657_Page_1.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667f9f6fdc17dd7806cf0348_2018-01-11%20LG%20redeems%20%245326.97%20into%20LG%20personal%20savings%205657_Page_2.jpg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fab8239d419f849a9798f_2018-01-11-square_ccrewards_bw-lt.jpg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fecb0e86dbcc2ec14f1a4_2018-02-10%20statements%206856%20%245326.97%20Chase%20rewards%20redeemed%20for%20cash.jpg,https://drive.google.com/open?id=1GUCXWNaYOuhzyGg7Bt60hBDNlZkkVa04&usp=drive_fs
2019-01-08,2019-01-08,667f9735076d31f489273357,667fa1edfb6bcd14f1c0ddc8,Sat Jun 29 2024 05:55:57 GMT+0000 (Coordinated Universal Time),Sat Jun 29 2024 11:27:18 GMT+0000 (Coordinated Universal Time),Sat Jun 29 2024 11:28:54 GMT+0000 (Coordinated Universal Time),Tue Jan 08 2019 00:00:00 GMT+0000 (Coordinated Universal Time),"403,517","LG misappropriates 532,697 of RBC's Chase CC rewards points redeemed for $5,326.97 directly to Lucas Guariglia's personal savings ending in 5657 statement.",https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fa2ed3d2c47f9705c8d96_2019-01-10%20statements%206856%20with%20links%20and%20notes%20Chase.pdf,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fed2d39d419f849cfee3a_2019-01-10%20statements%206856%20with%20links%20and%20notes%20Chase.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fa3ba3c3c2b23dba9e93f_2019-01-10%20statements%206856%20with%20links%20and%20notes%20Chase_Page_2.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fa3ba19f970d71b57b130_2019-01-10%20statements%206856%20with%20links%20and%20notes%20Chase_Page_3.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fa3ba258ac8fcbd18c9d6_2019-01-10%20statements%206856%20with%20links%20and%20notes%20Chase_Page_4.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fa3baa23bb1e366536847_2019-01-10%20statements%206856%20with%20links%20and%20notes%20Chase_Page_5.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fa3ba69cd32468c1fcee2_2019-01-10%20statements%206856%20with%20links%20and%20notes%20Chase_Page_6.jpg,"$4,037.17",https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fa1e039d419f849a36e74_2019-01-08-Thanks%20for%20using%20Chase%20Ultimate%20Rewards__1.pdf,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fa3b1258ac8fcbd18c42d_2019-01-08-Thanks%20for%20using%20Chase%20Ultimate%20Rewards__1_Page_1.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fa3b1c213d85ea6828abc_2019-01-08-Thanks%20for%20using%20Chase%20Ultimate%20Rewards__1_Page_2.jpg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fabb000741aee8892bfd7_2019-01-08-square_ccrewards_bw-lt.jpg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/667fed2d39d419f849cfee3a_2019-01-10%20statements%206856%20with%20links%20and%20notes%20Chase.jpg,https://drive.google.com/open?id=1GV7ysF4GhOkRMn8oGHRKeMGhOa4t01J8&usp=drive_fs
